University,Director,Distinguished Professor,Professor,Associate Professor,Assistant Professor,Lecturer,Other,Total,Lat,Lon
College of William Mary,2,0,7,2,9,6,1,27,37.27082000000007,-76.70906999999994
University of Rochester,2,0,10,4,5,0,2,23,43.126550000000066,-77.63154999999995
Emory University,3,0,5,15,13,2,0,38,33.789660000000026,-84.32554999999996
University of California--Berkeley,0,0,4,0,11,1,0,16,37.86948000000007,-122.25928999999996
Carnegie Mellon University,7,0,60,14,15,0,25,121,40.44401000000005,-79.93918999999994
Harvard University,0,0,11,3,2,0,2,18,42.37588000000005,-71.12339999999995
Northwestern University,1,0,20,18,20,1,0,60,41.89545000000004,-87.61614999999995
Cornell University,3,0,43,19,40,6,1,112,42.44635000000005,-76.48268999999993
Case Western Reserve University,5,0,9,7,6,0,9,36,41.50591000000003,-81.60908999999998
Yale University,3,0,15,3,4,0,0,25,41.314500000000066,-72.92325999999997
Johns Hopkins University,3,1,14,6,2,0,19,45,39.32913000000008,-76.61792999999994
University of California--Los Angeles,2,12,32,10,12,2,0,70,33.92789000000005,-118.37268999999998
University of illinois at Urbana Champaign,7,0,81,38,58,2,2,188,40.10907000000003,-88.21937999999994
University of Florida,0,1,18,18,12,8,1,58,29.649730000000034,-82.34112999999996
Wake Forest University,0,0,3,1,2,0,0,6,36.134750000000054,-80.27666999999997
University of California--Irvine,18,4,54,15,23,14,0,128,33.64997000000005,-117.84270999999995
Boston University,13,0,18,5,23,6,0,65,42.35021000000006,-71.09886999999998
New York University,0,0,31,13,11,0,0,55,43.03143000000006,-76.11844999999994
Georgetown University,5,0,13,5,4,0,0,27,38.90701000000007,-77.07549999999998
University of Southern California,15,2,47,23,35,32,0,154,34.01892000000004,-118.28319999999997
Tufts University,2,0,21,9,5,9,0,46,42.40894000000003,-71.11821999999995
University of Notre Dame,5,0,14,8,1,0,0,28,41.69790000000006,-86.23865999999998
University of Wisconsin--Madison,3,0,34,6,32,1,31,107,43.07584000000003,-89.39753999999994
University of Chicago,2,0,22,10,19,2,1,56,41.79002000000003,-87.60125999999997
University of Pennsylvania,7,3,46,13,20,9,0,98,39.95199000000008,-75.19453999999996
Brandeis University,5,0,8,4,2,3,0,22,42.365890000000036,-71.25501999999994
Northeastern University,0,0,0,0,0,0,18,18,42.340230000000076,-71.08901999999995
Columbia University,3,0,34,12,9,8,6,72,40.80816000000004,-73.96364999999997
Duke University,8,1,31,12,17,1,9,79,36.00009000000006,-78.93064999999996
Massachusetts Institute of Technology,1,3,110,25,17,0,2,158,42.358970000000056,-71.09349999999995
University of Virginia,8,0,9,9,30,3,0,59,38.03618000000006,-78.50161999999995
Dartmouth College,2,1,17,6,8,4,0,38,43.70315000000005,-72.28940999999998
University of Texas at Austin,2,0,52,10,32,1,12,109,30.278880000000072,-97.73225999999994
University of North Carolina at Chapel Hill,1,3,23,11,9,0,0,47,35.908949000000064,-79.05177699999996
Rice University,0,0,0,0,0,0,11,11,29.719030000000032,-95.39804999999996
Georgia Institute of Technology,14,1,10,4,10,0,0,39,33.771330000000034,-84.39440999999994
Washington University in St Louis,3,0,16,5,9,7,0,40,38.64781000000005,-90.30129999999997
Boston College,1,0,0,7,7,1,0,16,42.338490000000036,-71.16796999999997
California Institute of Technology,4,0,38,0,5,3,2,52,34.135890000000074,-118.12653999999998
Brown University,2,0,30,10,16,3,11,72,41.82759000000004,-71.40477999999996
University of California--Santa Barbara,4,6,23,1,12,1,1,48,34.416300000000035,-119.84735999999998
University of Georgia,1,0,20,9,9,9,0,48,33.95720000000006,-83.37405999999999
University of California--Davis,5,10,41,11,16,2,30,115,38.53670000000005,-121.74900999999994
Princeton University,5,0,25,4,12,14,1,61,40.34954000000005,-74.66008999999997
Auburn University,2,0,16,7,7,5,2,39,32.60414000000003,-85.48187999999999
Fordham University,3,0,0,0,0,1,1,5,40.86135000000007,-73.88994999999994
University of Maryland--College Park,0,0,74,21,26,20,7,148,38.98785000000004,-76.93889999999999
Howard University,2,0,8,6,5,10,6,37,38.922660000000064,-77.01889999999997
University at Buffalo--SUNY,9,2,17,20,21,1,0,70,43.00037000000003,-78.78924999999998
Texas A M University,2,0,24,6,18,5,10,65,30.612790000000075,-96.33959999999996
University of Massachusetts--Amherst,9,0,7,7,8,2,16,49,42.385320000000036,-72.52536999999995
Stony Brook University--SUNY,10,6,30,23,35,3,2,109,40.914300000000026,-73.11620999999997
Purdue University--West Lafayette,1,6,44,16,31,4,22,124,40.42930000000007,-86.91443999999996
Indiana University--Bloomington,14,1,14,3,7,5,1,45,39.17351000000008,-86.51604999999995
University of Iowa,2,0,9,6,8,2,0,27,41.66252000000003,-91.53650999999996
University of California--Santa Cruz,9,3,88,13,30,13,16,172,36.97766000000007,-122.05368999999996
Pepperdine University,3,0,11,7,4,0,0,25,34.04124000000005,-118.70951000000004
American University,1,1,7,2,5,0,7,23,38.93844000000007,-77.08665999999994
Villanova University,1,0,9,3,3,0,3,19,40.034550000000024,-75.33753999999993
Florida State University,2,0,4,1,3,0,1,11,30.44073000000003,-84.29086999999998
University of Minnesota--Twin Cities,9,0,18,8,10,7,6,58,44.97345000000007,-93.23789999999997
University of San Diego,1,0,3,1,1,0,12,18,32.77191000000005,-117.18621999999999
Virginia Tech,0,0,8,5,7,0,1,21,37.50735300000008,-77.60862499999996
Santa Clara University,1,0,3,6,6,7,0,23,37.34832000000006,-121.94221999999996
Brigham Young University--Provo,3,0,12,9,6,0,2,32,40.25238000000007,-111.65014999999994
University of California--Merced,0,0,10,5,7,0,61,83,37.36329000000006,-120.43217999999996
University of California--Riverside,3,4,26,6,19,0,0,58,33.975630000000024,-117.33116999999999
Clemson University,2,0,18,13,12,7,0,52,34.67980000000006,-82.83546999999999
Michigan State University,6,1,11,4,15,0,17,54,42.729460000000074,-84.48040999999995
Worcester Polytechnic Institute,0,0,17,7,13,2,7,46,42.27270000000004,-71.80790999999994
University of Denver,1,0,3,1,4,0,1,10,39.67667000000006,-104.95939999999996
Pennsylvania State University--University Park,6,3,20,11,14,5,2,61,40.80709000000007,-77.85886999999997
Colorado School of Mines,0,0,1,4,3,1,2,11,39.74935000000005,-105.22220999999996
Binghamton University--SUNY,5,1,6,8,11,4,0,35,42.08703000000003,-75.96583999999996
Texas Christian University,2,0,0,3,3,0,2,10,32.70885000000004,-97.36048999999997
Elon University,3,0,1,4,5,1,1,15,36.101780000000076,-79.50672999999995
Baylor University,11,1,15,12,12,10,1,62,29.761310000000037,-95.46386999999999
Rutgers University--New Brunswick,4,3,21,7,20,0,3,58,40.49799000000007,-74.44592999999998
Stevens Institute of Technology,1,0,5,9,8,0,15,38,40.746800000000064,-74.02522999999997
Southern Methodist University,6,0,5,5,0,2,0,18,32.84468000000004,-96.78568999999999
North Carolina State University,9,4,21,16,19,0,6,75,35.78697000000005,-78.66509999999994
University of Pittsburgh--Pittsburgh Campus,4,0,11,4,2,7,0,28,40.44531000000006,-79.95133999999996
Rensselaer Polytechnic Institute,6,1,18,5,4,5,2,41,42.730800000000045,-73.67590999999999
University of Miami,0,0,17,0,0,0,0,17,25.717570000000023,-80.27757999999994
University of Arizona,0,0,11,6,5,8,0,30,32.23210000000006,-110.95094999999998
Syracuse University,8,1,50,3,12,0,11,85,43.03143000000006,-76.11844999999994
